CR,count,AC,str Save Mod,dex Save Mod,con Save Mod,int Save Mod,wis Save Mod,cha Save Mod
0,77,12,-1,1,0,-4,1,-2
1/8,47,12,0,1,0,-2,0,-2
1/4,98,12,1,1,1,-2,0,-2
1/2,95,13,1,1,1,-1,0,-1
1,110,13,1,2,1,0,1,0
2,173,14,2,1,2,0,1,0
3,121,14,3,2,2,0,1,0
4,83,14,3,2,3,0,1,1
5,111,15,3,2,3,0,1,0
6,55,15,4,2,3,1,2,1
7,50,15,4,2,3,0,2,1
8,54,15,4,2,4,0,2,1
9,45,16,4,2,6,1,4,2
10,37,17,4,2,5,2,5,3
11,30,17,5.5,3,6.5,1.5,6,3
12,20,17,4.5,2,6,2,6,3
13,26,17,4.5,3,7.5,3,6,6.5
14,18,18,5,3,9,2.5,7,6.5
15,15,18,6,3,5,3,7,8
16,18,18.5,7,5,7,2.5,6.5,8.5
17,12,19,6.5,6,10.5,3,8.5,10
18,10,18.5,4,3.5,9.5,3.5,9,10
19,6,18,7,4,10.5,3.5,7.5,12
20,7,19,8,6,13,0,8,8
21,11,19,8,8,13,5,11,7
22,8,19,7.5,4,11,8.5,10,11
23,15,21,9,7,14,4,11,8
24,6,20.5,9.5,8,14,4,11.5,13.5
25,6,20.5,10,8,15.5,5.5,11,7.5
26,5,22,9,7,15,14,11,7
28,2,23.5,10.5,4.5,14,11.5,14,15.5
30,2,25,14.5,4.5,10,6.5,13,9
